Salary2016,Salary2017,Salary2018,Salary2019,Salary2020,Average,Pension
900,963,1030.41,1102.5387,1179.716409,1035.133022,672.8364642
925,989.75,1059.0325,1133.164775,1212.486309,1063.886717,691.526366
989,1058.23,1132.3061,1211.567527,1296.377254,1137.496176,739.3725145
977,1045.39,1118.5673,1196.867011,1280.647702,1123.694403,730.4013617
1105,1182.35,1265.1145,1353.672515,1448.429591,1270.913321,826.0936588
1172,1254.04,1341.8228,1435.750396,1536.252924,1347.973224,876.1825956
1275,1364.25,1459.7475,1561.929825,1671.264913,1466.438448,953.1849909
1290,1380.3,1476.921,1580.30547,1690.926853,1483.690665,964.398932
1379,1475.53,1578.8171,1689.334297,1807.587698,1586.053819,1030.934982
6000,6420,6869.4,7350.258,7864.77606,6900.886812,4485.576428
7865,8415.55,9004.6385,9634.963195,10309.41062,9045.912463,5879.843101
2131.8,2281.026,2440.69782,2611.546667,2794.354934,2451.885084,1593.725305
1200,1284,1373.88,1470.0516,1572.955212,1380.177362,897.1152856
77777,83221.39,89046.8873,95280.16941,101949.7813,89455.0456,58145.77964
1200,1284,1373.88,1470.0516,1572.955212,1380.177362,897.1152856
2532.8,2710.096,2899.80272,3102.78891,3319.984134,2913.094353,1893.511329
2437.4,2608.018,2790.57926,2985.919808,3194.934195,2803.370253,1822.190664
65478.5,70061.995,74966.33465,80213.97808,85828.95654,75309.95285,48951.46935
1459.9,1562.093,1671.43951,1788.440276,1913.631095,1679.100776,1091.415504
12150,13000.5,13910.535,14884.27245,15926.17152,13974.29579,9083.292266
1755,1877.85,2009.2995,2149.950465,2300.446998,2018.509393,1312.031105
9823,10510.61,11246.3527,12033.59739,12875.94921,11297.90186,7343.636208
1192,1275.44,1364.7208,1460.251256,1562.468844,1370.97618,891.134517
6995,7484.65,8008.5755,8569.175785,9169.01809,8045.283875,5229.434519
1008,1078.56,1154.0592,1234.843344,1321.282378,1159.348984,753.5768399
1015,1086.05,1162.0735,1243.418645,1330.45795,1167.400019,758.8100124
9163,9804.41,10490.7187,11225.06901,12010.82384,10538.80431,6850.222801
3667,3923.69,4198.3483,4492.232681,4806.688969,4217.59199,2741.434793
5311,5682.77,6080.5639,6506.203373,6961.637609,6108.434976,3970.482735
4420,4729.4,5060.458,5414.69006,5793.718364,5083.653285,3304.374635
7310,7821.7,8369.219,8955.06433,9581.918833,8407.580433,5464.927281
9555,10223.85,10939.5195,11705.28587,12524.65588,10989.66225,7143.280461
9238,9884.66,10576.5862,11316.94723,12109.13354,10625.06539,6906.292507
4457,4768.99,5102.8193,5460.016651,5842.217817,5126.208754,3332.03569
6160,6591.2,7052.584,7546.26488,8074.503422,7084.91046,4605.191799
8404,8992.28,9621.7396,10295.26137,11015.92967,9665.842128,6282.797383
1339,1432.73,1533.0211,1640.332577,1755.155857,1540.047907,1001.031139
9667,10343.69,11067.7483,11842.49068,12671.46503,11118.4788,7227.011221
2446,2617.22,2800.4254,2996.455178,3206.20704,2813.261524,1828.61999
4282,4581.74,4902.4618,5245.634126,5612.828515,4924.932888,3201.206377
6530,6987.1,7476.197,7999.53079,8559.497945,7510.465147,4881.802346
6412,6860.84,7341.0988,7854.975716,8404.824016,7374.747706,4793.586009
8617,9220.19,9865.6033,10556.19553,11295.12922,9910.82361,6442.035346
9892,10584.44,11325.3508,12118.12536,12966.39413,11377.26206,7395.220337
9944,10640.08,11384.8856,12181.82759,13034.55552,11437.06974,7434.095333
8312,8893.84,9516.4088,10182.55742,10895.33644,9560.02853,6214.018545
8981,9609.67,10282.3469,11002.11118,11772.25897,10329.47741,6714.160316
7833,8381.31,8968.0017,9595.761819,10267.46515,9009.107733,5855.920026
8953,9579.71,10250.2897,10967.80998,11735.55668,10297.27327,6693.227626
4478,4791.46,5126.8622,5485.742554,5869.744533,5150.361857,3347.735207
9645,10320.15,11042.5605,11815.53974,12642.62752,11093.17555,7210.564108
1618,1731.26,1852.4482,1982.119574,2120.867944,1860.939144,1209.610443
5361,5736.27,6137.8089,6567.455523,7027.17741,6165.942367,4007.862538
3415,3654.05,3909.8335,4183.521845,4476.368374,3927.754744,2553.040583
3931,4206.17,4500.6019,4815.644033,5152.739115,4521.23101,2938.800156
7844,8393.08,8980.5956,9609.237292,10281.8839,9021.759359,5864.143583
3261,3489.27,3733.5189,3994.865223,4274.505789,3750.631982,2437.910789
2484,2657.88,2843.9316,3043.006812,3256.017289,2856.96714,1857.028641
8297,8877.79,9499.2353,10164.18177,10875.67449,9542.776313,6202.804604
3940,4215.8,4510.906,4826.66942,5164.536279,4531.58234,2945.528521
2878,3079.46,3295.0222,3525.673754,3772.470917,3310.125374,2151.581493
4401,4709.07,5038.7049,5391.414243,5768.81324,5061.800477,3290.17031
5724,6124.68,6553.4076,7012.146132,7502.996361,6583.446019,4279.239912
8886,9508.02,10173.5814,10885.7321,11647.73334,10220.21337,6643.13869
1784,1908.88,2042.5016,2185.476712,2338.460082,2051.863679,1333.711391
7620,8153.4,8724.138,9334.82766,9988.265596,8764.126251,5696.682063
9919,10613.33,11356.2631,12151.20152,13001.78562,11408.31605,7415.405431
2571,2750.97,2943.5379,3149.585553,3370.056542,2957.029999,1922.069499
3129,3348.03,3582.3921,3833.159547,4101.480715,3598.812472,2339.228107
4871,5211.97,5576.8079,5967.184453,6384.887365,5602.369944,3641.540463
8709,9318.63,9970.9341,10668.89949,11415.72245,10016.63721,6510.814185
9355,10009.85,10710.5395,11460.27727,12262.49667,10759.63269,6993.761247
3595,3846.65,4115.9155,4404.029585,4712.311656,4134.781348,2687.607876
8444,9035.08,9667.5356,10344.26309,11068.36151,9711.84804,6312.701226
3027,3238.89,3465.6123,3708.205161,3967.779522,3481.497397,2262.973308
8232,8808.24,9424.8168,10084.55398,10790.47275,9468.016706,6154.210859
7346,7860.22,8410.4354,8999.165878,9629.107489,8448.985753,5491.84074
7458,7980.06,8538.6642,9136.370694,9775.916643,8577.802307,5575.5715
5081,5436.67,5817.2369,6224.443483,6660.154527,5843.900982,3798.535638
1125,1203.75,1288.0125,1378.173375,1474.645511,1293.916277,841.0455802
1307,1398.49,1496.3843,1601.131201,1713.210385,1503.243177,977.1080652
8486,9080.02,9715.6214,10395.7149,11123.41494,9760.154248,6344.100261
9255,9902.85,10596.0495,11337.77297,12131.41707,10644.61791,6919.00164
6326,6768.82,7242.6374,7749.622018,8292.095559,7275.834995,4729.292747
1934,2069.38,2214.2366,2369.233162,2535.079483,2224.385849,1445.850802
8007,8567.49,9167.2143,9808.919301,10495.54365,9209.233451,5986.001743
5313,5684.91,6082.8537,6508.653459,6964.259201,6110.735272,3971.977927
9132,9771.24,10455.2268,11187.09268,11970.18916,10503.14973,6827.047323
9009,9639.63,10314.4041,11036.41239,11808.96125,10361.68155,6735.093006
9827,10514.89,11250.9323,12038.49756,12881.19239,11302.50245,7346.626593
908,971.56,1039.5692,1112.339044,1190.202777,1044.334204,678.8172327
2516,2692.12,2880.5684,3082.208188,3297.962761,2893.77187,1880.951715
2425,2594.75,2776.3825,2970.729275,3178.680324,2789.10842,1812.920473
7457,7978.99,8537.5193,9135.145651,9774.605847,8576.65216,5574.823904
9401,10059.07,10763.2049,11516.62924,12322.79329,10812.53949,7028.150666
8675,9282.25,9932.0075,10627.24803,11371.15539,9977.532182,6485.395919
7873,8424.11,9013.7977,9644.763539,10319.89699,9055.113645,5885.823869
2541,2718.87,2909.1909,3112.834263,3330.732661,2922.525565,1899.641617
3222,3447.54,3688.8678,3947.088546,4223.384744,3705.776218,2408.754542
6443,6894.01,7376.5907,7892.952049,8445.458692,7410.402288,4816.761487
3571,3820.97,4088.4379,4374.628553,4680.852552,4107.177801,2669.665571
5249,5616.43,6009.5801,6430.250707,6880.368256,6037.125813,3924.131778
9885,10576.95,11317.3365,12109.55006,12957.21856,11369.21102,7389.987165
4363,4668.41,4995.1987,5344.862609,5719.002992,5018.09486,3261.761659
6124,6552.68,7011.3676,7502.163332,8027.314765,7043.505139,4578.278341
2737,2928.59,3133.5913,3352.942691,3587.648679,3147.954534,2046.170447
5689,6087.23,6513.3361,6969.269627,7457.118501,6543.190846,4253.07405
7704,8243.28,8820.3096,9437.731272,10098.37246,8860.738667,5759.480133
5228,5593.96,5985.5372,6404.524804,6852.84154,6012.972709,3908.432261
4115,4403.05,4711.2635,5041.051945,5393.925581,4732.858205,3076.357833
1621,1734.47,1855.8829,1985.794703,2124.800332,1864.389587,1211.853232
4991,5340.37,5714.1959,6114.189613,6542.182886,5740.38768,3731.251992
3407,3645.49,3900.6743,4173.721501,4465.882006,3918.553561,2547.059815
1957,2093.99,2240.5693,2397.409151,2565.227792,2250.839249,1463.045512
1354,1448.78,1550.1946,1658.708222,1774.817798,1557.300124,1012.245081
9356,10010.92,10711.6844,11461.50231,12263.80747,10760.78284,6994.508843
6465,6917.55,7401.7785,7919.902995,8474.296205,7435.70554,4833.208601
7138,7637.66,8172.2962,8744.356934,9356.461919,8209.755011,5336.340757
7580,8110.6,8678.342,9285.82594,9935.833756,8718.120339,5666.77822
2754,2946.78,3153.0546,3373.768422,3609.932212,3167.507047,2058.87958
8217,8792.19,9407.6433,10066.17833,10770.81081,9450.764489,6142.996918
