Months,Salary2016,Salary2017,Salary2018,Salary2019,Salary2020,Average,Pension
432,900,963,1030.41,1102.5387,1179.716409,1035.133022,828.1064174
423,925,989.75,1059.0325,1133.164775,1212.486309,1063.886717,833.3779282
253,989,1058.23,1132.3061,1211.567527,1296.377254,1137.496176,532.9380233
256,977,1045.39,1118.5673,1196.867011,1280.647702,1123.694403,532.7143834
253,1105,1182.35,1265.1145,1353.672515,1448.429591,1270.913321,595.4464264
417,1172,1254.04,1341.8228,1435.750396,1536.252924,1347.973224,1040.934878
400,1275,1364.25,1459.7475,1561.929825,1671.264913,1466.438448,1086.250702
325,1290,1380.3,1476.921,1580.30547,1690.926853,1483.690665,892.9619741
330,1379,1475.53,1578.8171,1689.334297,1807.587698,1586.053819,969.2551116
269,6000,6420,6869.4,7350.258,7864.77606,6900.886812,3437.663986
249,7865,8415.55,9004.6385,9634.963195,10309.41062,9045.912463,4171.170747
152,2131.8,2281.026,2440.69782,2611.546667,2794.354934,2451.885084,690.160246
409,1200,1284,1373.88,1470.0516,1572.955212,1380.177362,1045.356558
417,1200,1284,1373.88,1470.0516,1572.955212,1380.177362,1065.80363
349,2489.5,2663.765,2850.22855,3049.744549,3263.226667,2863.292953,1850.535631
245,2532.8,2710.096,2899.80272,3102.78891,3319.984134,2913.094353,1321.681697
200,2437.4,2608.018,2790.57926,2985.919808,3194.934195,2803.370253,1038.285279
309,65478.5,70061.995,74966.33465,80213.97808,85828.95654,75309.95285,43094.02858
275,1459.9,1562.093,1671.43951,1788.440276,1913.631095,1679.100776,855.0976175
312,12150,13000.5,13910.535,14884.27245,15926.17152,13974.29579,8074.03757
251,1755,1877.85,2009.2995,2149.950465,2300.446998,2018.509393,938.2330695
242,9823,10510.61,11246.3527,12033.59739,12875.94921,11297.90186,5063.133796
273,1192,1275.44,1364.7208,1460.251256,1562.468844,1370.97618,693.1046243
322,6995,7484.65,8008.5755,8569.175785,9169.01809,8045.283875,4797.372977
400,1008,1078.56,1154.0592,1234.843344,1321.282378,1159.348984,858.7770255
267,1015,1086.05,1162.0735,1243.418645,1330.45795,1167.400019,577.2144539
194,9163,9804.41,10490.7187,11225.06901,12010.82384,10538.80431,3786.16303
357,3667,3923.69,4198.3483,4492.232681,4806.688969,4217.59199,2788.296927
378,5311,5682.77,6080.5639,6506.203373,6961.637609,6108.434976,4275.904483
186,4420,4729.4,5060.458,5414.69006,5793.718364,5083.653285,1751.036131
439,7310,7821.7,8369.219,8955.06433,9581.918833,8407.580433,6835.0515
215,9555,10223.85,10939.5195,11705.28587,12524.65588,10989.66225,4375.513673
255,9238,9884.66,10576.5862,11316.94723,12109.13354,10625.06539,5017.391992
352,4457,4768.99,5102.8193,5460.016651,5842.217817,5126.208754,3341.528669
254,6160,6591.2,7052.584,7546.26488,8074.503422,7084.91046,3332.531957
379,8404,8992.28,9621.7396,10295.26137,11015.92967,9665.842128,6783.989197
176,1339,1432.73,1533.0211,1640.332577,1755.155857,1540.047907,501.94154
403,9667,10343.69,11067.7483,11842.49068,12671.46503,11118.4788,8297.67955
309,2446,2617.22,2800.4254,2996.455178,3206.20704,2813.261524,1609.810761
266,4282,4581.74,4902.4618,5245.634126,5612.828515,4924.932888,2425.98546
399,6530,6987.1,7476.197,7999.53079,8559.497945,7510.465147,5549.399248
345,6412,6860.84,7341.0988,7854.975716,8404.824016,7374.747706,4711.644368
208,8617,9220.19,9865.6033,10556.19553,11295.12922,9910.82361,3817.502427
418,9892,10584.44,11325.3508,12118.12536,12966.39413,11377.26206,8806.843593
333,9944,10640.08,11384.8856,12181.82759,13034.55552,11437.06974,7052.859675
222,8312,8893.84,9516.4088,10182.55742,10895.33644,9560.02853,3930.233951
311,8981,9609.67,10282.3469,11002.11118,11772.25897,10329.47741,5949.013842
424,7833,8381.31,8968.0017,9595.761819,10267.46515,9009.107733,7073.817924
339,8953,9579.71,10250.2897,10967.80998,11735.55668,10297.27327,6464.399331
232,4478,4791.46,5126.8622,5485.742554,5869.744533,5150.361857,2212.748057
184,9645,10320.15,11042.5605,11815.53974,12642.62752,11093.17555,3779.896854
188,1618,1731.26,1852.4482,1982.119574,2120.867944,1860.939144,647.8825167
152,5361,5736.27,6137.8089,6567.455523,7027.17741,6165.942367,1735.598592
212,3415,3654.05,3909.8335,4183.521845,4476.368374,3927.754744,1542.007418
189,3931,4206.17,4500.6019,4815.644033,5152.739115,4521.23101,1582.430853
271,7844,8393.08,8980.5956,9609.237292,10281.8839,9021.759359,4527.586641
215,3261,3489.27,3733.5189,3994.865223,4274.505789,3750.631982,1493.307178
267,2484,2657.88,2843.9316,3043.006812,3256.017289,2856.96714,1412.61153
254,8297,8877.79,9499.2353,10164.18177,10875.67449,9542.776313,4488.639229
320,3940,4215.8,4510.906,4826.66942,5164.536279,4531.58234,2685.382127
